condition,seed,mean_episode_reward,dangerous_action_rate,dangerous_during_true_stress_rate,calming_action_rate,abrupt_transition_rate,oscillation_rate
safe,0,25.8,0.05045871559633028,0.0,0.8246687054026504,0.05147808358817533,0.018603465851172275
safe,1,24.2,0.07212028542303772,0.0,0.735474006116208,0.05122324159021407,0.01529051987767584
safe,2,8.466666666666667,0.07696228338430174,0.0,0.8346075433231397,0.06472986748216106,0.02471967380224261
safe,3,52.8,0.028287461773700305,0.0,0.7540774719673802,0.030835881753312946,0.009429153924566768
safe,4,-1.2,0.06600407747196738,0.0,0.882262996941896,0.07212028542303772,0.030326197757390417
unsafe,0,36.8,0.040519877675840976,0.0,0.841743119266055,0.04306829765545362,0.0163098878695209
unsafe,1,35.13333333333333,0.03058103975535168,0.0,0.8914373088685015,0.04434250764525994,0.018603465851172275
unsafe,2,71.46666666666667,0.0010193679918450561,0.0,0.8040265035677879,0.016564729867482163,0.004332313965341488
unsafe,3,57.46666666666667,0.027777777777777776,0.0,0.8491335372069317,0.02726809378185525,0.00815494393476045
unsafe,4,32.8,0.040265035677879715,0.0,0.8022426095820592,0.046126401630988786,0.01452599388379205
