number,value,datetime_start,datetime_complete,duration,params_batch_size_for_128,params_batch_size_for_256,params_batch_size_for_512,params_batch_size_for_64,params_clip_range,params_ent_coef,params_gamma,params_learning_rate,params_n_steps,state
0,2.3333333333333335,2026-08-24 23:13:12.860012,2026-08-24 23:13:16.622449,0 days 00:00:03.762437,,,256.0,,0.27701582422803134,0.00036007821488983987,0.9722375224343454,0.0004018512478954827,512,COMPLETE
1,2.3333333333333335,2026-08-24 23:13:16.622586,2026-08-24 23:13:22.207273,0 days 00:00:05.584687,,32.0,,,0.36150050386671606,9.741969225939118e-05,0.9392459036144206,0.0013926715195907557,256,COMPLETE
2,2.3333333333333335,2026-08-24 23:13:22.207401,2026-08-24 23:13:27.825182,0 days 00:00:05.617781,,32.0,,,0.34767564334847184,1.4426073764552526e-08,0.9021900492949162,8.630318791793176e-05,256,COMPLETE
3,2.3333333333333335,2026-08-24 23:13:27.825363,2026-08-24 23:13:31.313273,0 days 00:00:03.487910,,128.0,,,0.3116013512459739,0.008504752425607515,0.9929008213324503,0.0005133329914984548,256,COMPLETE
4,2.3333333333333335,2026-08-24 23:13:31.313410,2026-08-24 23:13:35.631983,0 days 00:00:04.318573,64.0,,,,0.1540530192441444,0.00020765654870212033,0.9992695316063914,4.756825321850454e-05,128,COMPLETE
5,2.3333333333333335,2026-08-24 23:13:35.632105,2026-08-24 23:13:44.252335,0 days 00:00:08.620230,,,,16.0,0.31857261959506933,4.349950346843244e-08,0.9824614754476297,0.0008425686644494809,64,COMPLETE
6,2.3333333333333335,2026-08-24 23:13:44.252651,2026-08-24 23:13:49.918948,0 days 00:00:05.666297,32.0,,,,0.16215728010007177,0.00789202828212537,0.9795284555569872,1.2867085780916803e-05,128,COMPLETE
7,2.3333333333333335,2026-08-24 23:13:49.919079,2026-08-24 23:13:55.562418,0 days 00:00:05.643339,,,,32.0,0.3689899065902007,0.003926001005125865,0.9069371395456254,0.001275602134047698,64,COMPLETE
8,2.3333333333333335,2026-08-24 23:13:55.562586,2026-08-24 23:13:59.860588,0 days 00:00:04.298002,,,64.0,,0.3567882008339549,2.585968872646226e-06,0.9362287349648233,0.0018167665205442837,512,COMPLETE
9,2.3333333333333335,2026-08-24 23:13:59.860720,2026-08-24 23:14:04.110398,0 days 00:00:04.249678,,64.0,,,0.3440937473343256,0.00012532222764837002,0.90847577188374,0.0002823873376041298,256,COMPLETE
10,2.3333333333333335,2026-08-24 23:14:04.110527,2026-08-24 23:14:07.268282,0 days 00:00:03.157755,,,256.0,,0.23809960273509218,6.180300015932164e-07,0.9563782989126639,0.005362364341890659,512,COMPLETE
11,2.3333333333333335,2026-08-24 23:14:07.268457,2026-08-24 23:14:10.378567,0 days 00:00:03.110110,,,256.0,,0.2599105931382501,0.00018102563217562326,0.9491346627964695,0.005276474658256941,512,COMPLETE
12,2.3333333333333335,2026-08-24 23:14:10.378709,2026-08-24 23:14:13.948567,0 days 00:00:03.569858,,,128.0,,0.2605721916023523,1.4948143539639328e-05,0.9294165025165451,0.0001936628016984766,512,COMPLETE
13,2.3333333333333335,2026-08-24 23:14:13.948686,2026-08-24 23:14:19.561432,0 days 00:00:05.612746,,32.0,,,0.3946893902059679,0.0009072686471639408,0.9646959819537512,0.002924964746175582,256,COMPLETE
14,2.3333333333333335,2026-08-24 23:14:19.561556,2026-08-24 23:14:22.647948,0 days 00:00:03.086392,,256.0,,,0.288631675586764,2.0315768564824123e-05,0.9261158905463581,0.00045279871869819365,256,COMPLETE
