file_path,avg_tempo_bpm,complexity_notes_per_second,tempo_bin,complexity_bin
data/classical_split\train\albeniz\alb_esp1.mid,198.50458625171547,6.660196010776686,TEMPO_FAST,COMPLEXITY_LOW
data/classical_split\train\albeniz\alb_esp2.mid,168.51237286982393,5.33833924721741,TEMPO_SLOW,COMPLEXITY_LOW
data/classical_split\train\albeniz\alb_esp3.mid,196.79676049308776,6.772639858876324,TEMPO_FAST,COMPLEXITY_LOW
data/classical_split\train\albeniz\alb_esp4.mid,211.93736483635746,7.2695411064791,TEMPO_FAST,COMPLEXITY_LOW
data/classical_split\train\albeniz\alb_esp5.mid,215.38081429472967,7.57524063936286,TEMPO_FAST,COMPLEXITY_LOW
data/classical_split\train\albeniz\alb_esp6.mid,190.34192571714317,9.767648758814234,TEMPO_SLOW,COMPLEXITY_HIGH
data/classical_split\train\albeniz\alb_se1.mid,181.668796903949,8.063178306838743,TEMPO_SLOW,COMPLEXITY_LOW
data/classical_split\train\albeniz\alb_se2.mid,201.22101325733263,9.248094271381323,TEMPO_FAST,COMPLEXITY_HIGH
data/classical_split\train\albeniz\alb_se4.mid,189.05305560558602,9.099670603921783,TEMPO_SLOW,COMPLEXITY_LOW
data/classical_split\train\albeniz\alb_se5.mid,229.75733165283063,8.64681220793367,TEMPO_FAST,COMPLEXITY_LOW
data/classical_split\train\albeniz\alb_se6.mid,199.05088239554922,13.240436292750855,TEMPO_FAST,COMPLEXITY_HIGH
data/classical_split\train\albeniz\alb_se7.mid,166.91748783893283,14.483025652776904,TEMPO_SLOW,COMPLEXITY_HIGH
data/classical_split\train\albeniz\alb_se8.mid,238.53136691734446,8.093301815238592,TEMPO_FAST,COMPLEXITY_LOW
data/classical_split\train\bach\bach_846.mid,226.33018690012108,4.328048148114313,TEMPO_FAST,COMPLEXITY_LOW
data/classical_split\train\bach\bach_850.mid,235.0546984349026,8.689281006435582,TEMPO_FAST,COMPLEXITY_LOW
data/classical_split\train\beeth\appass_1.mid,176.92769169292316,11.409930943141461,TEMPO_SLOW,COMPLEXITY_HIGH
data/classical_split\train\beeth\appass_2.mid,193.1243366959805,5.355739624732474,TEMPO_SLOW,COMPLEXITY_LOW
data/classical_split\train\beeth\appass_3.mid,265.2554833443439,15.533240700100835,TEMPO_FAST,COMPLEXITY_HIGH
data/classical_split\train\beeth\beethoven_hammerklavier_1.mid,205.57094949883006,13.997715909690806,TEMPO_FAST,COMPLEXITY_HIGH
data/classical_split\train\beeth\beethoven_hammerklavier_2.mid,205.917577115326,13.891630551289488,TEMPO_FAST,COMPLEXITY_HIGH
data/classical_split\train\beeth\beethoven_hammerklavier_3.mid,176.6348375009915,6.826372465442688,TEMPO_SLOW,COMPLEXITY_LOW
data/classical_split\train\beeth\beethoven_hammerklavier_4.mid,239.62741307322597,12.476364338579524,TEMPO_FAST,COMPLEXITY_HIGH
data/classical_split\train\beeth\beethoven_les_adieux_1.mid,226.06159174067068,9.673919284159755,TEMPO_FAST,COMPLEXITY_HIGH
data/classical_split\train\beeth\beethoven_les_adieux_2.mid,187.69106677364513,5.001650552965746,TEMPO_SLOW,COMPLEXITY_LOW
data/classical_split\train\beeth\beethoven_les_adieux_3.mid,164.34076907290043,17.734452446382132,TEMPO_SLOW,COMPLEXITY_HIGH
data/classical_split\train\beeth\beethoven_opus10_1.mid,181.62427493722655,7.343790411702669,TEMPO_SLOW,COMPLEXITY_LOW
data/classical_split\train\beeth\beethoven_opus10_2.mid,160.413272216486,4.158246824312719,TEMPO_SLOW,COMPLEXITY_LOW
data/classical_split\train\beeth\beethoven_opus10_3.mid,196.94827061855167,12.74324862682711,TEMPO_FAST,COMPLEXITY_HIGH
data/classical_split\train\beeth\beethoven_opus22_1.mid,165.10533609340422,12.984705508682787,TEMPO_SLOW,COMPLEXITY_HIGH
data/classical_split\train\beeth\beethoven_opus22_3.mid,234.60741647637496,10.48929661085943,TEMPO_FAST,COMPLEXITY_HIGH
data/classical_split\train\beeth\beethoven_opus22_4.mid,173.89667732268478,12.38473436994735,TEMPO_SLOW,COMPLEXITY_HIGH
data/classical_split\train\beeth\beethoven_opus90_1.mid,155.60505870307287,8.988403254356482,TEMPO_SLOW,COMPLEXITY_LOW
